Date1,Answer1,Interval,Ease factor,Time to answer1,Review type1,Date2,Answer2,Time to answer2,Review type2,Card ID
2023-03-06 00:06:14,1,0.0006944444444444445,0.0,26.717,Learn,2023-03-06 00:07:07,3,6.011,Learn,1644119361314
2023-03-06 00:07:07,3,0.006944444444444444,0.0,6.011,Learn,2023-03-06 00:07:57,3,10.338,Learn,1644119361314
2023-03-06 00:07:57,3,0.125,0.0,10.338,Learn,2023-03-06 07:28:22,3,4.844,Learn,1644119361314
2023-03-06 07:28:22,3,1,2.6,4.844,Learn,2023-03-07 09:45:06,3,3.082,Review,1644119361314
2023-03-07 09:45:06,3,3,2.6,3.082,Review,2023-03-10 07:15:24,3,4.29,Review,1644119361314
2023-03-10 07:15:24,3,6,2.6,4.29,Review,2023-03-16 06:26:26,3,3.555,Review,1644119361314
2023-03-16 06:26:26,3,15,2.6,3.555,Review,2023-03-31 06:25:58,3,4.107,Review,1644119361314
2023-03-31 06:25:58,3,40,2.6,4.107,Review,2023-05-10 07:36:13,3,4.208,Review,1644119361314
2023-03-06 00:06:26,3,0.006944444444444444,0.0,12.43,Learn,2023-03-06 00:07:19,3,7.674,Learn,1644119361319
2023-03-06 00:07:19,3,0.125,0.0,7.674,Learn,2023-03-06 07:27:44,3,6.324,Learn,1644119361319
2023-03-06 07:27:44,3,1,2.6,6.324,Learn,2023-03-07 09:47:01,3,60.0,Review,1644119361319
2023-03-07 09:47:01,3,3,2.6,60.0,Review,2023-03-10 07:15:32,3,8.169,Review,1644119361319
2023-03-10 07:15:32,3,7,2.6,8.169,Review,2023-03-17 08:02:34,3,4.455,Review,1644119361319
2023-03-17 08:02:34,3,17,2.6,4.455,Review,2023-04-03 06:54:06,3,5.094,Review,1644119361319
2023-04-03 06:54:06,3,46,2.6,5.094,Review,2023-05-19 05:39:36,3,3.685,Review,1644119361319
2023-03-06 00:06:41,3,0.006944444444444444,0.0,14.647,Learn,2023-03-06 00:07:41,3,13.273,Learn,1644119361323
2023-03-06 00:07:41,3,0.125,0.0,13.273,Learn,2023-03-06 07:27:59,3,15.04,Learn,1644119361323
2023-03-06 07:27:59,3,1,2.6,15.04,Learn,2023-03-07 09:47:06,3,4.034,Review,1644119361323
2023-03-07 09:47:06,3,3,2.6,4.034,Review,2023-03-10 07:15:03,3,5.861,Review,1644119361323
2023-03-10 07:15:03,3,8,2.6,5.861,Review,2023-03-18 05:07:35,3,7.583,Review,1644119361323
2023-03-18 05:07:35,3,21,2.6,7.583,Review,2023-04-08 07:34:50,1,13.029,Review,1644119361323
2023-04-08 07:34:50,1,0.006944444444444444,2.4,13.029,Review,2023-04-08 07:41:41,3,4.339,Relearn,1644119361323
2023-04-08 07:41:41,3,0.020833333333333332,2.4,4.339,Relearn,2023-04-08 18:00:07,3,6.22,Relearn,1644119361323
2023-04-08 18:00:07,3,0.25,2.4,6.22,Relearn,2023-04-09 09:09:13,3,5.9,Relearn,1644119361323
2023-04-09 09:09:13,3,1,2.4,5.9,Relearn,2023-04-10 06:41:06,1,9.635,Review,1644119361323
2023-04-10 06:41:06,1,0.006944444444444444,2.2,9.635,Review,2023-04-10 06:52:11,3,16.365,Relearn,1644119361323
2023-04-10 06:52:11,3,0.020833333333333332,2.2,16.365,Relearn,2023-04-10 07:13:25,3,6.01,Relearn,1644119361323
2023-04-10 07:13:25,3,0.25,2.2,6.01,Relearn,2023-04-10 19:00:50,3,4.529,Relearn,1644119361323
2023-04-10 19:00:50,3,1,2.2,4.529,Relearn,2023-04-11 05:33:16,3,3.976,Review,1644119361323
2023-04-11 05:33:16,3,3,2.2,3.976,Review,2023-04-14 07:45:03,3,4.226,Review,1644119361323
2023-04-14 07:45:03,3,7,2.2,4.226,Review,2023-04-21 07:38:13,3,5.026,Review,1644119361323
2023-04-21 07:38:13,3,14,2.2,5.026,Review,2023-05-05 07:08:02,4,7.861,Review,1644119361323
2023-05-05 07:08:02,4,38,2.35,7.861,Review,2023-06-12 07:07:42,1,6.402,Review,1644119361323
2023-06-12 07:07:42,1,0.0006944444444444445,2.15,6.402,Review,2023-06-12 07:08:57,3,4.213,Relearn,1644119361323
2023-06-12 07:08:57,3,0.006944444444444444,2.15,4.213,Relearn,2023-06-12 07:19:13,3,8.112,Relearn,1644119361323
2023-06-12 07:19:13,3,0.041666666666666664,2.15,8.112,Relearn,2023-06-12 12:19:41,3,4.106,Relearn,1644119361323
2023-06-12 12:19:41,3,0.16666666666666666,2.15,4.106,Relearn,2023-06-13 05:24:08,3,8.618,Relearn,1644119361323
2023-06-13 05:24:08,3,1,2.15,8.618,Relearn,2023-06-14 07:32:10,3,6.144,Review,1644119361323
2023-06-14 07:32:10,3,3,2.15,6.144,Review,2023-06-17 04:34:15,4,8.777,Review,1644119361323
2023-06-17 04:34:15,4,8,2.3,8.777,Review,2023-06-25 08:31:51,3,5.274,Review,1644119361323
2023-03-06 00:06:52,3,0.006944444444444444,0.0,10.749,Learn,2023-03-06 00:07:46,3,5.112,Learn,1644119361324
2023-03-06 00:07:46,3,0.125,0.0,5.112,Learn,2023-03-06 07:28:18,3,6.003,Learn,1644119361324
2023-03-06 07:28:18,3,1,2.6,6.003,Learn,2023-03-07 09:45:03,3,4.098,Review,1644119361324
2023-03-07 09:45:03,3,3,2.6,4.098,Review,2023-03-10 07:15:11,3,5.438,Review,1644119361324
2023-03-10 07:15:11,3,9,2.6,5.438,Review,2023-03-19 11:09:14,3,9.358,Review,1644119361324
2023-03-19 11:09:14,3,20,2.6,9.358,Review,2023-04-08 07:37:38,3,22.928,Review,1644119361324
